OrderID,CustomerID,OrderDateKey,ShippedDateKey,DeliveredDateKey,SalesChannelID,OrderStatus,PaymentMethod,ShippingMethod,DiscountCode,OrderDiscountAmount,ShippingRevenue,ShippingCost,GiftWrapping,OrderCurrency
500001,2491,20240101,20240102.0,20240104.0,1,Delivered,Mastercard,Evri Standard,,0.0,0.0,2.89,False,GBP
500002,2491,20240102,20240103.0,,1,Shipped,Apple Pay,Royal Mail Tracked 48,,0.0,0.0,3.45,False,GBP
500003,2052,20240102,20240103.0,20240108.0,1,Delivered,Mastercard,Evri Standard,LOYALTY5,5.0,0.0,3.0,False,GBP
500004,1488,20240102,20240105.0,20240109.0,1,Delivered,Google Pay,Royal Mail Tracked 48,,0.0,0.0,3.75,False,GBP
500005,2052,20240102,20240105.0,20240106.0,1,Delivered,PayPal,Evri Standard,,0.0,0.0,3.56,False,GBP
500006,2052,20240102,20240104.0,20240109.0,1,Delivered,Visa,Royal Mail Tracked 48,,0.0,0.0,4.0,False,GBP
500007,2052,20240102,20240105.0,20240107.0,1,Delivered,Visa,Royal Mail Tracked 48,,0.0,0.0,3.61,False,GBP
500008,1488,20240102,20240103.0,20240105.0,1,Delivered,PayPal,Evri Standard,,0.0,0.0,3.69,False,GBP
500009,1488,20240103,20240106.0,20240110.0,1,Delivered,PayPal,Royal Mail Tracked 48,LOYALTY5,5.0,0.0,3.96,False,GBP
500010,2052,20240103,20240105.0,20240109.0,1,Delivered,Apple Pay,Royal Mail Tracked 48,,0.0,0.0,4.13,False,GBP
500011,1488,20240103,20240106.0,20240110.0,1,Delivered,Apple Pay,Royal Mail Tracked 48,,0.0,0.0,3.41,True,GBP
500012,2052,20240103,20240104.0,20240106.0,1,Delivered,Mastercard,Evri Standard,,0.0,0.0,3.47,True,GBP
500013,2052,20240103,20240104.0,20240109.0,1,Delivered,Apple Pay,Royal Mail Tracked 48,,0.0,0.0,3.95,False,GBP
500014,2491,20240103,20240106.0,20240111.0,1,Delivered,Mastercard,DPD Next Day,,0.0,0.0,7.24,False,GBP
500015,1788,20240104,20240107.0,20240109.0,1,Delivered,Mastercard,DPD Next Day,,0.0,0.0,6.39,False,GBP
500016,1788,20240104,20240106.0,20240111.0,1,Delivered,Google Pay,Royal Mail Tracked 24,,0.0,0.0,4.83,False,GBP
500017,1488,20240104,20240107.0,20240108.0,1,Delivered,PayPal,Evri Standard,LOYALTY5,5.0,0.0,3.64,False,GBP
500018,1788,20240104,20240105.0,20240106.0,1,Delivered,Google Pay,Evri Standard,,0.0,0.0,3.39,False,GBP
500019,2491,20240104,20240107.0,20240109.0,2,Delivered,Visa,DPD Next Day,,0.0,0.0,7.59,False,GBP
500020,1788,20240105,20240107.0,20240110.0,1,Delivered,Mastercard,Royal Mail Tracked 48,,0.0,0.0,3.82,False,GBP
500021,2052,20240105,,,1,Cancelled,Apple Pay,Royal Mail Tracked 48,,0.0,0.0,0.0,False,GBP
500022,2491,20240105,20240106.0,20240111.0,1,Delivered,Google Pay,Royal Mail Tracked 48,,0.0,0.0,3.94,True,GBP
500023,1488,20240105,20240107.0,20240109.0,1,Delivered,PayPal,Evri Standard,,0.0,0.0,3.08,False,GBP
500024,1788,20240105,20240108.0,20240113.0,1,Delivered,Apple Pay,Royal Mail Tracked 48,WELCOME5,5.0,0.0,4.16,False,GBP
500025,1488,20240105,20240108.0,20240110.0,1,Delivered,Apple Pay,Royal Mail Tracked 24,,0.0,0.0,4.76,False,GBP
500026,1488,20240105,20240107.0,20240111.0,1,Delivered,Visa,Royal Mail Tracked 24,,0.0,0.0,4.41,False,GBP
500027,2052,20240105,20240107.0,20240108.0,1,Delivered,Google Pay,Royal Mail Tracked 48,,0.0,0.0,3.68,False,GBP
500028,1679,20240106,20240108.0,20240113.0,1,Delivered,PayPal,Royal Mail Tracked 48,,0.0,0.0,3.73,True,GBP
500029,2491,20240106,20240107.0,20240110.0,1,Delivered,PayPal,Royal Mail Tracked 48,,0.0,0.0,3.7,False,GBP
500030,1679,20240107,20240109.0,20240114.0,1,Delivered,Google Pay,Royal Mail Tracked 24,,0.0,0.0,5.03,False,GBP
500031,2302,20240107,20240109.0,20240110.0,2,Delivered,Google Pay,Royal Mail Tracked 24,,0.0,0.0,4.73,False,GBP
500032,1030,20240107,20240109.0,20240111.0,1,Delivered,Visa,DPD Next Day,,0.0,0.0,7.78,False,GBP
500033,1679,20240107,20240109.0,20240110.0,1,Delivered,Visa,Royal Mail Tracked 48,,0.0,0.0,3.45,True,GBP
500034,1488,20240107,20240109.0,20240113.0,2,Delivered,Visa,Evri Standard,LOYALTY5,5.0,0.0,3.74,False,GBP
500035,1016,20240108,20240110.0,20240114.0,1,Delivered,PayPal,Royal Mail Tracked 24,,0.0,0.0,4.71,False,GBP
500036,1030,20240109,20240110.0,20240115.0,2,Delivered,Visa,Royal Mail Tracked 48,,0.0,0.0,3.52,False,GBP
500037,2491,20240109,20240110.0,20240114.0,1,Delivered,Visa,Royal Mail Tracked 48,WELCOME5,5.0,0.0,4.16,True,GBP
500038,1734,20240109,20240110.0,20240113.0,1,Delivered,PayPal,Royal Mail Tracked 48,,0.0,0.0,3.52,True,GBP
500039,2491,20240109,20240111.0,20240112.0,1,Delivered,Mastercard,DPD Next Day,,0.0,0.0,7.6,False,GBP
500040,1679,20240109,20240112.0,20240114.0,1,Delivered,PayPal,Royal Mail Tracked 24,WELCOME5,5.0,0.0,4.87,False,GBP
500041,1239,20240110,20240112.0,20240115.0,2,Delivered,Visa,Evri Standard,,0.0,0.0,3.71,True,GBP
500042,1030,20240110,20240113.0,20240114.0,1,Delivered,Mastercard,Royal Mail Tracked 48,,0.0,0.0,3.43,False,GBP
500043,2491,20240110,20240111.0,20240115.0,1,Delivered,Google Pay,Royal Mail Tracked 24,,0.0,0.0,4.86,False,GBP
500044,2219,20240110,20240111.0,20240115.0,1,Delivered,Mastercard,DPD Next Day,WELCOME5,5.0,0.0,7.35,False,GBP
500045,1806,20240110,20240113.0,20240118.0,2,Delivered,Google Pay,Royal Mail Tracked 48,,0.0,0.0,3.56,True,GBP
500046,1030,20240110,20240113.0,20240114.0,1,Delivered,Apple Pay,Royal Mail Tracked 24,LOYALTY5,5.0,0.0,4.68,False,GBP
500047,1030,20240110,20240111.0,20240112.0,2,Delivered,Google Pay,Royal Mail Tracked 24,WELCOME5,5.0,0.0,4.25,False,GBP
500048,2052,20240111,20240113.0,20240115.0,1,Delivered,Google Pay,Evri Standard,,0.0,0.0,2.83,False,GBP
500049,1722,20240111,20240114.0,20240118.0,1,Delivered,Google Pay,DPD Next Day,,0.0,0.0,7.31,False,GBP
500050,1788,20240111,20240113.0,20240118.0,1,Delivered,Visa,DPD Next Day,,0.0,0.0,6.55,True,GBP
500051,2491,20240111,20240113.0,20240116.0,1,Delivered,Visa,Royal Mail Tracked 24,,0.0,0.0,5.08,False,GBP
